source	target
A1BG	FDXR
A1BG	GDPD1
A1BG	KCMF1
A1BG	KLK10
A1BG	PHF11
A1BG	PSME4
A1BG	RHBDD1
A1BG	RNF123
A1BG	SAMM50
A1BG	UBAC1
A1BG	UBE2U
A1BG	UBR4
A1BG	WDR62
A1BG	ZBTB40
A1CF	ACTMAP
A1CF	APOBEC1
A1CF	CAVIN2
A1CF	CELF2
A1CF	CYSRT1
A1CF	DOK3
A1CF	ECM1
A1CF	EIF4G1
A1CF	FHL2
A1CF	FHL3
A1CF	HSPB2
A1CF	HSPB2-C11orf52
A1CF	KLHDC7B
A1CF	KRT31
A1CF	KRT34
A1CF	METTL27
A1CF	OIP5
A1CF	PLEKHG4
A1CF	POGZ
A1CF	PSMG2
A1CF	REL
A1CF	RIMBP3
A1CF	SPMIP6
A1CF	SYNCRIP
A1CF	TRAF1
A2M	ABHD17C
A2M	AGPAT1
A2M	AMBP
A2M	AP2B1
A2M	APOE
A2M	ATP5IF1
A2M	BMP7
A2M	BRK1
A2M	CCR1
A2M	CIRSR
A2M	CLEC2B
A2M	COPS3
A2M	CRTAC1
A2M	CSF2
A2M	CTNNB1
A2M	CYFIP1
A2M	DAZ3
A2M	DDX20
A2M	DNTTIP1
A2M	EGFL8
A2M	EOGT
A2M	ERAL1
A2M	FKBP14
A2M	FOXA2
A2M	FOXR1
A2M	FZD4
A2M	GALNT12
A2M	GDPD1
A2M	GNG8
A2M	H2AZ1
A2M	H3C1
A2M	HAPLN3
A2M	HOXC4
A2M	IL10
A2M	IQSEC1
A2M	ITLN2
A2M	KAT5
A2M	KLK10
A2M	KLK3
A2M	KRTAP10-7
A2M	KRTAP8-1
A2M	LCAT
A2M	LHX6
A2M	LNX1
A2M	LOXL1
A2M	LYN
A2M	METRN
A2M	METRNL
A2M	MGARP
A2M	MKL1
A2M	MMP2
A2M	MNDA
A2M	MRFAP1
A2M	OR2A4
A2M	OTUB1
A2M	OTUD7B
A2M	P2RX6
A2M	PAEP
A2M	PARK7
A2M	PDE6D
A2M	PDF
A2M	PHC1
A2M	PHF11
A2M	PIAS1
A2M	PIK3R1
A2M	POGLUT1
