Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_VESICLE_ORGANIZATION,-0.5912522921931062,-1.818993484929925,0.0,0.29261388991597714,0.194,6/33,8.04%,HOOK3;PI4K2A;ARFGEF2;ZDHHC20;DIAPH3;LYST
prerank,GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,-0.6591509193620358,-1.7573093217497526,0.0,0.2362586222284556,0.274,5/17,10.99%,HOOK3;WDR62;PCM1;AKNA;DBN1
prerank,GOBP_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,-0.6726236593427908,-1.6832979158805919,0.02247191011235955,0.27780256956220545,0.416,5/15,3.04%,SIRT1;NCOR1;MED1;SMARCA4;LATS1
prerank,GOBP_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,-0.6314413821972482,-1.6490084057180239,0.024691358024691357,0.2652490724330941,0.483,5/18,3.04%,SIRT1;NCOR1;MED1;SMARCA4;LATS1
prerank,GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,-0.6340928219670174,-1.5991484434658034,0.016574585635359115,0.29456464918208364,0.59,4/15,7.88%,HOOK3;PCM1;ZC3H8;ZC3H12A
prerank,GOBP_CALCIUM_ION_HOMEOSTASIS,0.7488336658568044,1.5608042989988167,0.0035169988276670576,1.0,0.632,4/20,2.30%,PDPK1;PLCG1;ITPR3;STIM2
prerank,GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,0.745245962294429,1.5103045511714888,0.007290400972053463,1.0,0.884,4/16,5.33%,LIG3;HMGB2;PRKDC;LMNA
prerank,GOBP_VACUOLE_ORGANIZATION,-0.5239033310958968,-1.504780506337008,0.046153846153846156,0.44704899848274277,0.777,3/23,10.66%,HOOK3;LYST;MTMR3
prerank,GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,0.7488172377424861,1.503922878973273,0.015834348355663823,1.0,0.907,5/15,12.39%,PUM2;CLASP1;GIT1;PRKCD;MAP2K2
prerank,GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,-0.5215819098686438,-1.500167609316502,0.029411764705882353,0.39557062896048756,0.788,6/26,3.04%,SIRT1;EZH2;NCOR1;MED1;SMARCA4;LATS1
prerank,GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,0.7047541355601041,1.4933621035591884,0.003468208092485549,1.0,0.933,4/22,2.30%,PDPK1;PLCG1;ITPR3;STIM2
prerank,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,0.7116249401469064,1.4804831118140724,0.01907032181168057,1.0,0.959,6/18,17.47%,MAPK3;ATRX;PARN;PRKCQ;HNRNPA1;MAPK1
prerank,GOBP_CALCIUM_MEDIATED_SIGNALING,0.7115348960604185,1.4728339000603157,0.01770956316410862,1.0,0.968,6/18,17.06%,PDPK1;PLCG1;ITPR3;PRKAA1;PPP3CB;NFATC2
prerank,GOBP_RNA_LOCALIZATION,0.623314073190085,1.471726732551606,0.004250797024442083,1.0,0.969,15/48,16.74%,PUM2;NUP214;IWS1;POM121C;PARN;BORCS5;NCBP1;NUP153;RFTN1;NUP50;UPF1;HNRNPA1;STAU2;PRPF6;TPR
prerank,GOBP_CYTOSOLIC_TRANSPORT,0.6840863473869598,1.4693195726161508,0.02191464821222607,0.9242795435710424,0.974,7/21,16.98%,SRSF10;RIC1;RCSD1;TBC1D5;MON2;WASHC2A;ERC1
prerank,GOBP_ERBB_SIGNALING_PATHWAY,0.690866710060214,1.469034173196463,0.016355140186915886,0.8253267932821284,0.974,7/21,13.29%,PDPK1;MAPK3;PLCG1;SHKBP1;ERBIN;MAP2K2;CBLB
prerank,GOBP_ENDOTHELIAL_CELL_PROLIFERATION,0.7353466901622201,1.4660107093662198,0.018050541516245487,0.7770936953536293,0.976,5/15,9.68%,SP1;PDPK1;PLCG1;HMGB2;RICTOR
prerank,GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,0.6312223510363426,1.4629053032315222,0.008791208791208791,0.7392524073091212,0.978,14/39,18.46%,SP1;PDPK1;MAPK3;PRKDC;PHIP;RB1;PRKCQ;EPRS1;DENND4C;PRKAA1;PRKCD;OSBPL8;MAPK1;PRKCB
prerank,GOBP_T_CELL_MEDIATED_IMMUNITY,0.7125628810135926,1.462455052228931,0.026284348864994027,0.6818611389047132,0.978,8/17,16.57%,SPN;MAPK3;HLA-B;DUSP22;RFTN1;PRKAA1;PPP3CB;SASH3
prerank,GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,0.7099409634693546,1.4620665077023431,0.01645123384253819,0.6333755515918676,0.978,3/18,0.74%,SP1;PDPK1;PLCG1
prerank,GOBP_RESPONSE_TO_INSULIN,0.6244297959799576,1.4606237384246912,0.00989010989010989,0.6007383331857371,0.981,16/43,18.46%,SP1;PDPK1;MAPK3;PRKDC;PHIP;RB1;PRKCQ;EPRS1;DENND4C;PRKAA1;SLC2A1;PRKCD;OSBPL8;MAPK1;RPS6;PRKCB
prerank,GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.6640218305131789,1.4586008943150202,0.014689265536723164,0.5762197499501037,0.983,11/26,16.57%,SPN;PDPK1;MAPK3;CAMK4;HLA-B;DUSP22;SPHK2;PRKAA1;VAV1;PPP3CB;SASH3
prerank,GOBP_CELLULAR_RESPONSE_TO_RADIATION,-0.4978336710929707,-1.4551039375478445,0.022727272727272728,0.453009651795846,0.861,4/23,1.89%,EEF1D;PTPRK;SIRT1;IFI16
prerank,GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,0.692318573263994,1.4493624085777899,0.017341040462427744,0.6141211178359145,0.989,7/20,18.29%,PDPK1;PLCG1;STIM2;SPHK2;ANK3;PPP3CB;LIME1
prerank,GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,0.7138928814522236,1.4410937812850853,0.023612750885478158,0.6480883163488917,0.992,3/16,1.64%,PDPK1;PLCG1;ITPR3
prerank,GOBP_INORGANIC_ION_HOMEOSTASIS,0.6603316206356579,1.4375641171510727,0.023972602739726026,0.6433099074021449,0.992,8/26,19.36%,PDPK1;PLCG1;ITPR3;STIM2;ANK3;LIME1;PRKCB;CNNM3
prerank,GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,0.6865036030103314,1.4362257570525894,0.016203703703703703,0.6210864268058899,0.992,3/20,0.74%,SP1;PDPK1;PLCG1
prerank,GOBP_REGULATION_OF_CELL_GROWTH,0.6150929096912934,1.4338218021815234,0.0064516129032258064,0.6069836326891533,0.994,16/47,24.04%,RPS6KA1;PUM2;URI1;RPS6KA3;RB1;PRKCQ;NCBP1;SPHK2;RICTOR;NDRG3;SIPA1;ANAPC2;SEMA4D;EIF4G1;CRKL;CDKN2AIP
prerank,GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,0.6566043815803835,1.4318455916951731,0.027180067950169876,0.5941767562320348,0.995,7/24,12.80%,MAPK3;ATRX;PARN;PRKCQ;LMNA;UPF1;HNRNPA1
prerank,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.6923097817031562,1.4283713999985157,0.040236686390532544,0.5941595905630911,0.996,3/17,0.74%,SP1;PDPK1;PLCG1
prerank,GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.7051647107614063,1.4210926572852338,0.04963680387409201,0.6259522752802742,0.997,7/15,16.57%,SPN;MAPK3;HLA-B;DUSP22;PRKAA1;PPP3CB;SASH3
prerank,GOBP_MONOATOMIC_ION_HOMEOSTASIS,0.6287210532289602,1.4153457876541173,0.016538037486218304,0.6464628474071763,1.0,5/34,2.30%,PDPK1;MAPK3;PLCG1;ITPR3;STIM2
prerank,GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.6905832018465922,1.408426869851386,0.0351288056206089,0.6821056638588152,1.0,5/17,9.68%,SP1;PDPK1;PLCG1;HMGB2;RICTOR
prerank,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.6443541808586922,1.403692752785018,0.033821871476888386,0.6959429294008163,1.0,7/25,17.47%,MAPK3;ATRX;PARN;PRKCQ;HNRNPA1;TPR;MAPK1
prerank,GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,0.600187478029593,1.398624682052128,0.026737967914438502,0.7145195393061747,1.0,12/42,16.74%,NUP214;IWS1;POM121C;BORCS5;NCBP1;NUP153;RFTN1;NUP50;UPF1;HNRNPA1;SLC25A19;TPR
prerank,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.6657949301931061,1.3940801266191671,0.03804994054696789,0.7279101915546179,1.0,5/19,11.73%,SPN;PLCG1;RB1;GIT1;PRKCD
prerank,GOBP_RESPONSE_TO_WOUNDING,0.5947352973501868,1.3827720694042684,0.028077753779697623,0.8046762469097675,1.0,13/42,19.85%,PUM2;ITPR3;PRKCQ;CLASP1;GIT1;AHNAK;VAV1;PRKCD;MAP2K2;MRTFA;ARHGAP35;RASA3;JMJD1C
prerank,GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,0.5974153311207875,1.3813858227631215,0.037756202804746494,0.790839963043688,1.0,10/39,12.80%,NUP214;IWS1;POM121C;BORCS5;NCBP1;NUP153;RFTN1;NUP50;UPF1;HNRNPA1
prerank,GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.5817378773354527,1.3808460067801045,0.017970401691331923,0.7708611870422325,1.0,13/53,15.09%,SPN;PDPK1;MAPK3;PLCG1;PRKDC;HLA-B;DUSP22;ERBIN;RIPOR2;CUL4A;CBLB;ADAR;PPP3CB
prerank,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS,0.5640814498771514,1.379040214435341,0.014447884416924664,0.763871999777945,1.0,18/71,17.47%,MAPK3;CHORDC1;LIG3;PUM2;PRKDC;BCL7C;SMARCD2;CUL4A;PRKCD;MAP2K2;PBRM1;TAOK3;ARHGEF2;HAPSTR1;OXR1;SGTA;HNRNPK;MAPK1
prerank,GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION,-0.39788248209087385,-1.3786141075864373,0.0,0.6235204617221932,0.948,10/55,8.70%,HOOK3;SIRT1;EZH2;MED1;PCM1;SMARCA4;ZC3H8;ZEB1;ZC3H12A;RBM15
prerank,GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.5847738834194344,1.3752796568055772,0.026030368763557483,0.7749698729635789,1.0,11/46,11.73%,SP1;PDPK1;MAPK3;PRKDC;PHIP;RB1;PRKCQ;EPRS1;DENND4C;PRKAA1;PRKCD
prerank,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.593033413853224,1.3728405193901534,0.035869565217391305,0.773839841830841,1.0,13/42,16.57%,SPN;PDPK1;MAPK3;CAMK4;HLA-B;DUSP22;SPHK2;RFTN1;PRKAA1;VAV1;PRKCD;PPP3CB;SASH3
prerank,GOBP_CALCIUM_ION_TRANSPORT,0.6255097880522265,1.3717908703779835,0.040632054176072234,0.7604537250213983,1.0,4/28,2.30%,PDPK1;PLCG1;ITPR3;STIM2
prerank,GOBP_CELL_GROWTH,0.5766595212475679,1.3683245407916933,0.018907563025210083,0.7707768007059942,1.0,18/55,25.59%,RPS6KA1;PUM2;URI1;RPS6KA3;RB1;PRKCQ;NCBP1;SPHK2;RICTOR;NDRG3;SIPA1;PPP3CB;ANAPC2;SEMA4D;EIF4G1;CRKL;CDKN2AIP;NDEL1
