Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Long-term potentiation	12/67	2.158490683713366e-11	2.674967775544565e-09	0	0	18.94048858630357	465.1599668533875	RPS6KA3;PPP3CB;MAP2K2;PRKCB;CAMK4;RPS6KA1;EP300;MAPK1;ITPR3;BRAF;RAF1;MAPK3
KEGG_2021_Human	T cell receptor signaling pathway	14/104	2.5355144791891616e-11	2.674967775544565e-09	0	0	13.599703703703703	331.8061075544025	MAP2K2;PDPK1;NFATC2;CBLB;PPP3CB;MAPK1;PRKCQ;PTPN6;PLCG1;RAF1;MAP2K7;MAP3K7;PAK2;MAPK3
KEGG_2021_Human	Regulation of actin cytoskeleton	18/218	1.4689127322221636e-10	8.48960885397944e-09	0	0	7.966018099547512	180.36123215690208	MAP2K2;PPP1R12A;LIMK1;BRAF;ARHGAP35;FGD3;DIAPH3;APC;TMSB4X;MYH9;MAPK1;ITGB7;ARHGEF7;RAF1;PAK2;WASF2;GIT1;MAPK3
KEGG_2021_Human	Neurotrophin signaling pathway	14/119	1.6094045220814105e-10	8.48960885397944e-09	0	0	11.648	262.6622448651937	MAP2K2;PDPK1;BAD;PRKCD;BRAF;RPS6KA3;CAMK4;RPS6KA1;RAPGEF1;MAPK1;PLCG1;RAF1;MAP2K7;MAPK3
KEGG_2021_Human	mTOR signaling pathway	15/154	5.254791467326415e-10	2.2175219992117477e-08	0	0	9.45304470709147	201.98047063145077	PRKAA1;MAP2K2;PRKCB;PDPK1;BRAF;RPTOR;RPS6KA3;CLIP1;RPS6KA1;MAPK1;RICTOR;LAMTOR1;RAF1;EIF4B;MAPK3
KEGG_2021_Human	Thyroid hormone signaling pathway	13/121	2.291511781913877e-09	8.058483099730467e-08	0	0	10.46742871189774	208.23959277275907	PFKFB2;MED1;MAP2K2;PRKCB;PDPK1;HDAC1;BAD;PFKL;EP300;MAPK1;PLCG1;RAF1;MAPK3
KEGG_2021_Human	ErbB signaling pathway	11/85	5.525966193051661e-09	1.6656840953341433e-07	0	0	12.835289236605028	244.04772168142952	MAP2K2;PRKCB;BAD;MAPK1;CBLB;BRAF;PLCG1;RAF1;MAP2K7;PAK2;MAPK3
KEGG_2021_Human	Non-small cell lung cancer	10/72	1.3789423785039887e-08	3.6369605233042706e-07	0	0	13.874489364699253	251.11943236848697	RB1;MAP2K2;PDPK1;PRKCB;BAD;MAPK1;BRAF;PLCG1;RAF1;MAPK3
KEGG_2021_Human	Glioma	10/75	2.0660057913449257e-08	4.843635799708659e-07	0	0	13.23211286530064	234.1430783181128	RB1;MAP2K2;PRKCB;CAMK4;MAPK1;BRAF;PLCG1;CAMK1;RAF1;MAPK3
KEGG_2021_Human	VEGF signaling pathway	9/59	3.194041333161989e-08	6.739427212971798e-07	0	0	15.426	266.2434080394241	PPP3CB;MAP2K2;PRKCB;BAD;MAPK1;NFATC2;PLCG1;RAF1;MAPK3
