geneid	αCD3_5min	αCD3_αCD226_5min	αCD3_αICOS_5min	αCD3_αCD2_5min	αCD3_10min	αCD3_αCD226_10min	αCD3_αICOS_10min	αCD3_αCD2_10min
RB1	9.68709	11.743425	-78.91103	10.352853000000001	9.876808	6.856104	25.871076	9.086673999999999
RAB3GAP1	55.966522	0.7542300000000001	0.704742	68.65306	0.573418	58.36134	2.229768	60.558003
IRF2	2.6706480000000004	54.507665	57.538165000000006	73.521678	6e-05	-0.013673999999999999	1.369921	0.587796
CBLL1	8.128703	22.382712	7.53366	84.03931600000001	0.791985	1.769166	-22.478417999999998	33.37928
RIF1	-12.25913	-1.572816	51.263664	-10.196945	50.095968	-7.599471	-3.977589	-2.039352
EMD	33.120009	-11.507752	16.084445000000002	-42.515368	11.82104	13.9788	11.837984	36.01381
EML3	54.874108	43.853994	50.673840000000006	51.90943	0.561596	-0.5891580000000001	36.924839999999996	0.552661
BSG	36.882324	-4.040179	-2.5195920000000003	-2.051809	47.099384	49.443856	2.31546	-7.00128
MYH9	0.802472	0.751177	30.596829999999997	68.084865	6e-05	0.45701699999999995	0.63468	0.711585
PCM1	9.113909	-42.68844	11.488692000000002	14.521203	-9.88349	6.093456	-14.201694	-48.544476
PPP1R10	5.123175	11.709155	13.756704	73.29280999999999	0.122364	0.067599	0.4928	8.601587999999998
BCL11B	26.395954000000003	-1.4272829999999999	-7.247574000000001	-27.418755	34.333236	-34.645728000000005	-5.615378999999999	15.93786
CLIP1	50.340038	62.644921000000004	58.856433	60.019938	46.337104	-3.475379	22.694252000000002	18.022349999999996
TBC1D10B	-17.554608	-2.3425200000000004	1.924556	-31.446999999999996	27.309338999999998	-2.461865	2.050608	45.556
RECQL4	-39.32830799999999	5.503883999999999	4.93935	7.662795	-4.159444	-52.967754	1.9644920000000001	-4.62583
OSBPL8	11.138376	11.628162	11.267633	12.713472000000001	-52.423926	10.71136	11.06338	11.357304
TRIM22	8.816418	17.074584	19.315356	66.768366	0.58558	0.235944	0.599564	8.119553
GAPDH	39.965482	2.25308	0.001232	1.7516800000000001	38.04192	52.444405999999994	1.932543	1.872936
MCM4	-11.159196	-6.027964	-61.46424900000001	8.855329999999999	-3.969127	-32.598383999999996	-18.961627999999997	-12.18606
LIMD1	17.383555	51.376668	7.839	50.952054999999994	55.58642	8.06413	7.632019999999999	19.69264
PUM2	7.137772	55.383300000000006	11.400479999999998	64.107824	27.224736	33.888816	41.307376	11.129469
HOOK3	-5.20562	-3.9704490000000003	-8.23977	-0.021632000000000002	-8.681103	-11.32498	-63.936621	-4.5407969999999995
BCL9L	21.72324	36.833208	33.679359999999996	-11.507717	-11.180288	21.359111000000002	18.130297000000002	-12.44766
LAMTOR1	1.7518379999999998	0.01739	0.527076	0.5753020000000001	6e-05	58.739706	0.573573	1.5503300000000002
GPRIN3	-3.802224	41.256220000000006	-6.329848	-19.156280000000002	-1.8335519999999998	-1.164328	14.518676	25.674389999999995
BRAF	-7.298925	30.065055	38.12744	25.345107000000002	25.974802	-6.561999	-3.626305	-5.64845
CAMK1	38.797304000000004	27.249684	36.882216	2.225224	2.074048	44.47737000000001	2.08451	44.223583999999995
ARHGAP35	12.120032	-4.073891	-16.915845	38.568836000000005	-12.43248	10.217637000000002	10.761339999999999	-19.189405
ZEB1	-7.456968	-8.49816	-37.092097	-0.146287	-44.906189	-42.684193	-7.991462999999999	-41.507704000000004
EIF2AK4	0.917815	54.436724999999996	0.001232	0.553112	6e-05	0.640382	-0.00115	0.6974520000000001
FGD3	2.258685	7.180727	0.45160500000000003	43.244664	1.656268	12.536328	41.498863	37.079638
PLCG1	51.04572999999999	53.426375	54.25835000000001	63.241059	40.299516000000004	1.8564499999999997	45.000524999999996	55.422958
EP300	13.062357	-27.996336	12.662019	-32.795799	3.959202	3.5445759999999997	7.384831999999999	13.577330000000002
RAPGEF6	-4.5968	-7.67456	34.627250000000004	27.923303999999998	-6.644592	13.510655999999999	-11.897241999999999	-9.200952
PDPK1	0.16905599999999998	2.264724	0.611736	1.7472299999999998	16.8324	0.575722	52.713045	2.282375
HNRNPA1	0.7796759999999999	43.3144	21.768912	11.309892000000001	2.058588	44.193996	14.113301000000002	1.939224
CHORDC1	35.428587	51.58361	50.587654	2.043937	48.932988	23.274995	44.108698	24.620274000000002
RBM15	-54.74717700000001	-7.501405999999999	-7.085667	-0.131634	-7.127664	-16.362907	-6.980352	-7.619634
ATRX	2.434004	23.821733	34.978743	1.5962939999999999	35.383635000000005	1.238528	35.985312	2.182257
PALM2AKAP2	2.153004	0.683982	27.528498000000003	25.745655000000003	46.28226	25.188547000000003	32.546310999999996	42.879922
CIC	26.5298	0.645885	2.2435300000000002	1.073499	40.827482	2.20575	13.132736	35.341584
PRKAA1	-19.85054	14.462174999999998	19.312355999999998	15.104669999999999	31.865799999999997	29.921765000000004	16.11816	30.215576
AKAP1	9.801694000000001	51.01989	28.76399	12.131777999999999	1.8893159999999998	9.66064	34.639669999999995	13.400133
ERCC6	2.273544	32.490504	31.52905	0.365096	1.754565	0.41630400000000006	1.4728999999999999	34.888595
MED1	13.627383	24.995848	26.59392	-17.117082	10.262711999999999	16.791464	-14.622064	8.526420000000002
LIMK1	-14.64822	32.937168	-3.958926	26.85696	-2.943054	0.6987110000000001	1.461216	3.4516240000000002
MAPRE2	45.287054999999995	0.01739	0.001232	-0.026442000000000004	6e-05	-0.013673999999999999	-0.00115	-0.0021959999999999996
PFKL	9.465315	1.4946329999999999	1.938294	33.153693	1.082686	7.148560000000001	43.535565000000005	13.285402
RBBP6	0.758016	41.038368	1.6986640000000002	8.607384	31.970551999999998	0.325982	9.40786	-0.0021959999999999996
HCLS1	31.403272	32.46898	3.7684200000000003	31.270718	-0.5730400000000001	27.372576000000002	1.240758	1.692
