leading_edge_list	kinase	overlap	lead_n	substrate_n	universe_n	fisher_p_two_sided	fdr_bh
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Ret	3	7	5	1219	1.1564627402055677e-06	0.000136462603344257
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	BRAF	2	7	3	1219	8.46307904480962e-05	0.0033288110909584505
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	MEK1	2	7	3	1219	8.46307904480962e-05	0.0033288110909584505
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PDK1	2	7	7	1219	0.0005859473225679096	0.017285446015753336
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ERK1	3	7	47	1219	0.0016884488957521074	0.03984739393974974
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PAK1	2	7	18	1219	0.004141832307720489	0.08145603538516961
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ITK	1	7	3	1219	0.01714248842927879	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	RAF1	1	7	3	1219	0.01714248842927879	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK1	3	7	109	1219	0.018648624547975137	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PKCA	2	7	41	1219	0.020831508490167416	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	LATS1	1	7	4	1219	0.022800385288649718	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PDGFRB	1	7	4	1219	0.022800385288649718	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ASK1	1	7	5	1219	0.028430341916616343	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Akt3	1	7	5	1219	0.028430341916616343	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Cot	1	7	5	1219	0.028430341916616343	0.22365202307738188
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Akt1	2	7	53	1219	0.03386059261155396	0.23368067695537825
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	EGFR	1	7	6	1219	0.03403247338826682	0.23368067695537825
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Src	2	7	55	1219	0.03628752362281891	0.23368067695537825
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PKACA	2	7	57	1219	0.03878359985916512	0.23368067695537825
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Syk	1	7	7	1219	0.039606894399216656	0.23368067695537825
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PKCT	1	7	8	1219	0.045153719266547904	0.2537208987358406
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	JAK2	1	7	9	1219	0.05067306192974704	0.2717918776231887
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Abl	1	7	21	1219	0.11480252459772229	0.5889868653274448
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AMPKA1	1	7	29	1219	0.15546081510937965	0.7643490076211167
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	PLK1	1	7	33	1219	0.17518233189463847	0.8268606065426936
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ERK2	1	7	54	1219	0.2723752203633079	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Chk1	1	7	57	1219	0.28542369224256897	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ALK	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AMPKA2	0	7	7	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AMPKG2	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ATM	0	7	40	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	ATR	0	7	19	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AXL	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Akt2	0	7	6	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AurA	0	7	16	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	AurB	0	7	29	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	BCR-ABL1	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	BRSK1 iso2	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	BRSK2	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Bcr	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Brk	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	Btk	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CAMK1A	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CAMK2A	0	7	6	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CAMKK1	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDC7	0	7	6	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK2	0	7	78	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK4	0	7	6	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK5	0	7	23	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK6	0	7	6	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK7	0	7	5	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CDK9	0	7	7	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CK1A	0	7	7	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CK1D	0	7	7	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CK1E	0	7	3	1219	1.0	1.0
αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	CK2A1	0	7	49	1219	1.0	1.0
