	αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_αICOS_5min__nan.txt	αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	αCD3_αCD226_5min__GOBP_GROWTH.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	αCD3_5min__GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY.txt	αCD3_αICOS_5min__GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION.txt	αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	αCD3_αICOS_10min__nan.txt	αCD3_αCD226_5min__nan.txt	αCD3_αCD2_5min__GOBP_CYTOPLASMIC_TRANSLATION.txt	αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	αCD3_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	αCD3_αCD2_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	αCD3_αCD2_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αICOS_5min__GO_1902533.txt	αCD3_αCD226_10min__GO_0097435.txt	αCD3_αCD226_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	αCD3_αCD2_10min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αCD2_5min__GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS.txt	αCD3_αCD2_5min__GOBP_REGULATION_OF_CELL_SHAPE.txt	αCD3_αCD2_5min__GO_0006351.txt	αCD3_αCD2_5min__nan.txt	αCD3_αICOS_5min__GOBP_DEFENSE_RESPONSE_TO_VIRUS.txt	αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	αCD3_αCD226_10min__GOBP_DNA_RECOMBINATION.txt	αCD3_αCD2_10min__nan.txt	αCD3_αCD2_5min__GO_0000184.txt	αCD3_10min__GOBP_TELOMERE_ORGANIZATION.txt	αCD3_10min__GO_0032869.txt	αCD3_5min__GO_0034250.txt	αCD3_αCD2_5min__GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION.txt	αCD3_αICOS_10min__GOBP_VESICLE_ORGANIZATION.txt	αCD3_αICOS_5min__GO_0051091.txt	αCD3_5min__GOBP_RESPONSE_TO_UV.txt	αCD3_5min__GO_0006397.txt	αCD3_5min__nan.txt	αCD3_αCD226_5min__GOBP_CYTOSOLIC_TRANSPORT.txt	αCD3_αCD2_10min__GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI.txt	αCD3_αICOS_10min__GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION.txt	αCD3_αICOS_10min__GO_0032869.txt	αCD3_10min__GO_0000184.txt	αCD3_αCD226_10min__GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION.txt	αCD3_αCD226_5min__GO_0008380.txt	αCD3_αCD2_10min__GO_0031401.txt	αCD3_αCD2_10min__GO_0043484.txt	αCD3_αICOS_10min__GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT.txt	αCD3_αICOS_10min__GO_0051276.txt	αCD3_αICOS_5min__GOBP_TYPE_I_INTERFERON_PRODUCTION.txt	αCD3_10min__nan.txt
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	1.0	0.15476190476190477	0.12195121951219512	0.15714285714285714	0.03896103896103896	0.05333333333333334	0.10294117647058823	0.046153846153846156	0.030303030303030304	0.06349206349206349	0.046875	0.046875	0.047619047619047616	0.047619047619047616	0.04918032786885246	0.03225806451612903	0.016129032258064516	0.08620689655172414	0.01639344262295082	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.037037037037037035	0.0	0.05660377358490566	0.0	0.018518518518518517	0.0	0.0	0.018518518518518517	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.018867924528301886	0.0	0.0	0.0392156862745098	0.0	0.06	0.0	0.019230769230769232	0.0	0.0	0.0
αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	0.15476190476190477	1.0	0.5423728813559322	0.02564102564102564	0.039473684210526314	0.09859154929577464	0.5416666666666666	0.11666666666666667	0.09836065573770492	0.1	0.08196721311475409	0.08196721311475409	0.1016949152542373	0.14035087719298245	0.06779661016949153	0.08620689655172414	0.0	0.06896551724137931	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.0	0.0	0.07692307692307693	0.0	0.0	0.037037037037037035	0.0	0.07692307692307693	0.0	0.03773584905660377	0.0	0.03773584905660377	0.0	0.058823529411764705	0.018867924528301886	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	0.0	0.0	0.061224489795918366	0.0196078431372549	0.0	0.0	0.0	0.0
αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	0.12195121951219512	0.5423728813559322	1.0	0.056338028169014086	0.05714285714285714	0.10606060606060606	0.35294117647058826	0.12727272727272726	0.08771929824561403	0.12962962962962962	0.12962962962962962	0.12962962962962962	0.09090909090909091	0.2	0.09433962264150944	0.13725490196078433	0.0	0.09615384615384616	0.037037037037037035	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.02	0.0625	0.0	0.02	0.04081632653061224	0.0	0.0625	0.0	0.041666666666666664	0.0	0.02040816326530612	0.0	0.06521739130434782	0.020833333333333332	0.0	0.11363636363636363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.06818181818181818	0.021739130434782608	0.0	0.0	0.0	0.0
αCD3_αICOS_5min__nan.txt	0.15714285714285714	0.02564102564102564	0.056338028169014086	1.0	0.06779661016949153	0.06896551724137931	0.0	0.02	0.02	0.02040816326530612	0.02040816326530612	0.06382978723404255	0.020833333333333332	0.020833333333333332	0.06818181818181818	0.044444444444444446	0.045454545454545456	0.022222222222222223	0.022727272727272728	0.0	0.05	0.0	0.0	0.025	0.0	0.0	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.02857142857142857	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0
αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	0.03896103896103896	0.039473684210526314	0.05714285714285714	0.06779661016949153	1.0	0.08928571428571429	0.017857142857142856	0.08695652173913043	0.08695652173913043	0.0	0.020833333333333332	0.020833333333333332	0.0	0.043478260869565216	0.0	0.022222222222222223	0.0	0.046511627906976744	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.0	0.02631578947368421	0.0	0.0	0.05555555555555555	0.0	0.05714285714285714	0.027777777777777776	0.0	0.05714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0
αCD3_αCD226_5min__GOBP_GROWTH.txt	0.05333333333333334	0.09859154929577464	0.10606060606060606	0.06896551724137931	0.08928571428571429	1.0	0.07692307692307693	0.6333333333333333	0.6333333333333333	0.0	0.09090909090909091	0.0	0.0	0.021739130434782608	0.022727272727272728	0.0	0.047619047619047616	0.047619047619047616	0.04878048780487805	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.08823529411764706	0.0	0.058823529411764705	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0
αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	0.10294117647058823	0.5416666666666666	0.35294117647058826	0.0	0.017857142857142856	0.07692307692307693	1.0	0.0975609756097561	0.0975609756097561	0.047619047619047616	0.1	0.047619047619047616	0.04878048780487805	0.10256410256410256	0.05128205128205128	0.05128205128205128	0.0	0.1111111111111111	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.13333333333333333	0.0	0.0	0.0625	0.0	0.0625	0.0	0.03125	0.0	0.06451612903225806	0.0	0.10344827586206896	0.03225806451612903	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	0.046153846153846156	0.11666666666666667	0.12727272727272726	0.02	0.08695652173913043	0.6333333333333333	0.0975609756097561	1.0	0.7272727272727273	0.0	0.05714285714285714	0.0	0.0	0.02857142857142857	0.030303030303030304	0.0	0.03125	0.06451612903225806	0.03225806451612903	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13043478260869565	0.0	0.041666666666666664	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0
αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	0.030303030303030304	0.09836065573770492	0.08771929824561403	0.02	0.08695652173913043	0.6333333333333333	0.0975609756097561	0.7272727272727273	1.0	0.0	0.05714285714285714	0.0	0.0	0.02857142857142857	0.0	0.0	0.03125	0.06451612903225806	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13043478260869565	0.0	0.041666666666666664	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0
αCD3_5min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	0.06349206349206349	0.1	0.12962962962962962	0.02040816326530612	0.0	0.0	0.047619047619047616	0.0	0.0	1.0	0.058823529411764705	0.16129032258064516	0.5217391304347826	0.12903225806451613	0.1	0.13793103448275862	0.0	0.03225806451612903	0.10714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.04	0.04	0.19047619047619047	0.0	0.041666666666666664	0.0	0.043478260869565216	0.043478260869565216	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.047619047619047616	0.0	0.047619047619047616	0.0	0.047619047619047616	0.0	0.0	0.0
